state,regular,mid_grade,premium,diesel
Alabama,1.89,2.23,2.55,2.27
Alaska,2.49,2.63,2.8,2.5
Arizona,2.22,2.5,2.75,2.43
Arkansas,1.86,2.15,2.45,2.19
California,3.19,3.37,3.49,3.38
Colorado,2.19,2.5,2.79,2.26
Connecticut,2.16,2.51,2.73,2.65
Delaware,2.36,2.73,2.93,2.49
District of Columbia,2.33,2.81,2.95,2.78
Florida,2.15,2.49,2.78,2.37
Georgia,1.98,2.32,2.62,2.42
Hawaii,3.27,3.45,3.68,4.07
Idaho,2.29,2.45,2.64,2.66
Illinois,2.25,2.59,2.99,2.45
Indiana,2.06,2.35,2.67,2.49
Iowa,2.01,2.16,2.55,2.27
Kansas,1.91,2.16,2.39,2.19
Kentucky,2.01,2.3,2.6,2.27
Louisiana,1.87,2.2,2.5,2.22
Maine,2.16,2.48,2.74,2.49
Maryland,2.33,2.76,2.98,2.62
Massachusetts,2.1,2.45,2.66,2.53
Michigan,2.06,2.34,2.67,2.4
Minnesota,1.97,2.21,2.51,2.36
Mississippi,1.83,2.14,2.47,2.1
Missouri,1.8,2.05,2.31,2.05
Montana,2.23,2.49,2.75,2.38
Nebraska,2.09,2.2,2.52,2.26
Nevada,2.59,2.81,2.98,2.64
New Hampshire,2.06,2.44,2.7,2.44
New Jersey,2.29,2.67,2.84,2.56
New Mexico,2.01,2.32,2.58,2.32
New York,2.25,2.57,2.8,2.77
North Carolina,2,2.34,2.67,2.35
North Dakota,2.01,2.22,2.43,2.35
Ohio,2.06,2.35,2.68,2.42
Oklahoma,1.85,2.09,2.31,2.07
Oregon,2.59,2.78,2.96,2.73
Pennsylvania,2.54,2.86,3.12,2.79
Rhode Island,2.11,2.51,2.73,2.57
South Carolina,1.91,2.25,2.57,2.19
South Dakota,2.11,2.21,2.56,2.3
Tennessee,1.9,2.23,2.56,2.31
Texas,1.84,2.16,2.44,2.06
Utah,2.28,2.45,2.61,2.67
Vermont,2.14,2.46,2.75,2.49
Virginia,2.08,2.47,2.76,2.36
Washington,2.76,2.97,3.13,2.84
West Virginia,2.16,2.45,2.74,2.44
Wisconsin,1.91,2.25,2.63,2.25
Wyoming,2.2,2.42,2.66,2.47