state,income
Alabama,48486
Alaska,76715
Arizona,56213
Arkansas,45726
California,71228
Colorado,68811
Connecticut,76106
Delaware,65627
Florida,53267
Georgia,55679
Hawaii,78084
Idaho,53089
Illinois,63575
Indiana,54325
Iowa,58580
Kansas,57422
Kentucky,48392
Louisiana,47942
Maine,55425
Maryland,81868
Massachusetts,77378
Michigan,54938
Minnesota,68411
Mississippi,43567
Missouri,53560
Montana,52559
Nebraska,59116
Nevada,57598
New Hampshire,74057
New Jersey,79363
New Mexico,48059
New York,65323
North Carolina,52413
North Dakota,63473
Ohio,54533
Oklahoma,51424
Oregon,59393
Pennsylvania,59445
Rhode Island,63296
South Carolina,51015
South Dakota,56499
Tennessee,50972
Texas,59570
Utah,68374
Vermont,60076
Virginia,71564
Washington,70116
West Virginia,44921
Wisconsin,59209
Wyoming,62268